Season,Franchise Name,Team Name,W,L,OTL,P,Playoffs?,WC Vs,WC W,WC L,R1 Vs,R1 W,R1 L,R2 Vs,R2 W,R2 L,CF Vs,CF W,CF L,Cup VS,CUP W,CUP L,PLF W,PLF L,Series Won,Series Lost,GM,Co-Gm,Cup Won,President Trophy,0,0,0,0,0,,
39,Calgary Dragons,Calgary Dragons,33,14,3,69,1,,,,LAP,0,4,,,,,,,,,,0,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
39,Hamilton Steelhawks,Hamilton Steelhawks,33,12,5,71,1,,,,NEW,3,4,,,,,,,,,,3,4,0,1,ThatDamnMcJesus,Gooney,,1,0,1,1,0,0,,
39,Toronto North Stars,Toronto North Stars,20,25,5,45,0,,,,,,,,,,,,,,,,0,0,0,0,Symmetrik,,,,0,0,0,0,0,,
39,Winnipeg Aurora,Winnipeg Jets,31,18,1,63,1,,,,EDM,4,3,,,,LAP,2,4,,,,6,7,1,1,Nereus,MWHazard,,,1,0,1,0,0,,
39,Tampa Bay Barracuda,Seattle Riot,16,30,4,36,0,,,,,,,,,,,,,,,,0,0,0,0,r1c3bowl22,Samee,,,0,0,0,0,0,,
39,Manhattan Rage,Manhattan Rage,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,,,,0,0,0,0,0,,
39,Edmonton Blizzard,Edmonton Blizzard,28,20,2,58,1,,,,WPG,3,4,,,,,,,,,,3,4,0,1,Karlssens,Ace,,,0,1,1,0,0,,
39,Los Angeles Panthers,Los Angeles Panthers,25,19,6,56,1,,,,CGY,4,0,,,,WPG,4,2,MIN,2,4,10,6,2,1,Wasty,vbottas17,,,0,0,0,0,0,,
39,Minnesota Monarchs,Minnesota Chiefs,28,15,7,63,1.1,,,,WKP,4,0,,,,NEW,4,1,LAP,4,2,12,3,3,0,Baelor Swift,Andybj,1,,0,0,0,0,0,,
39,New England Wolfpack,New England Wolfpack,25,21,4,54,1,,,,HAM,4,3,,,,MIN,1,4,,,,5,7,1,1,Eggy216,Toivo,,,1,0,1,0,0,,
39,Texas Renegades,Texas Renegades,24,20,6,54,0,,,,,,,,,,,,,,,,0,0,0,0,Phobospwns,Dankoa,,,0,0,0,0,0,,
39,Buffalo Stampede,Buffalo Stampede,19,25,6,44,0,,,,,,,,,,,,,,,,0,0,0,0,WannabeFinn,,,,0,0,0,0,0,,
39,San Francisco Pride,San Francisco Pride,25,22,3,53,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,,,,0,0,0,0,0,,
38,Baltimore Platoon,West Kendall Platoon,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Bojo,JR95,,,0,0,0,0,0,,
38,Calgary Dragons,Calgary Dragons,25,21,4,54,1,,,,SFP,4,1,,,,WPG,2,4,MAN,2,4,8,9,1,2,Steelhead77,Cookies,,,0,0,0,0,0,,
38,Hamilton Steelhawks,Hamilton Steelhawks,25,21,4,54,1,,,,MIN,3,4,,,,,,,,,,3,4,0,1,ThatDamnMcJesus,Gooney,,,0,1,1,0,0,,
38,Toronto North Stars,Toronto North Stars,16,26,8,40,0,,,,,,,,,,,,,,,,0,0,0,0,Symmetrik,,,,0,0,0,0,0,,
38,Winnipeg Aurora,Winnipeg Jets,35,12,3,73,1,,,,SEA,4,3,,,,CGY,2,4,,,,6,7,1,1,Nereus,MWHazard,,,1,0,1,0,0,,
38,Tampa Bay Barracuda,Seattle Riot,28,16,6,62,1,,,,WPG,3,4,,,,,,,,,,3,4,0,1,Abdeezy,,,,0,1,1,0,0,,
38,Manhattan Rage,Manhattan Rage,29,17,4,62,1.1,,,,NEW,4,3,,,,MIN,4,3,CGY,4,2,12,8,3,0,Nuck,BK,1,,2,0,2,0,0,,
38,Edmonton Blizzard,Edmonton Blizzard,19,25,6,44,0,,,,,,,,,,,,,,,,0,0,0,0,Karlssens,Ace,,,0,0,0,0,0,,
38,Los Angeles Panthers,Los Angeles Panthers,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
38,Minnesota Monarchs,Minnesota Chiefs,31,12,7,69,1,,,,HAM,4,3,,,,MAN,3,4,,,,7,7,1,1,Baelor Swift,Andybj,,,1,1,2,0,0,,
38,New England Wolfpack,New England Wolfpack,32,14,4,68,1,,,,MAN,3,4,,,,,,,,,,3,4,0,1,Eggy216,Toivo,,,0,1,1,0,0,,
38,Texas Renegades,Texas Renegades,19,27,4,42,0,,,,,,,,,,,,,,,,0,0,0,0,Phobospwns,Wuma,,,0,0,0,0,0,,
38,Buffalo Stampede,Buffalo Stampede,16,31,3,35,0,,,,,,,,,,,,,,,,0,0,0,0,WannabeFinn,,,,0,0,0,0,0,,
38,San Francisco Pride,San Francisco Pride,35,11,4,74,1,,,,CGY,1,4,,,,,,,,,,1,4,0,1,Grapehead,Joester09,,1,0,0,0,0,0,,
37,Baltimore Platoon,West Kendall Platoon,29,16,5,63,1,,,,BUF,4,3,,,,TOR,1,4,,,,5,7,1,1,Bojo,JR95,,,1,0,1,0,0,,
37,Calgary Dragons,Calgary Dragons,25,19,6,56,1,,,,SEA,3,4,,,,,,,,,,3,4,0,1,Steelhead77,Cookies,,,0,1,1,0,0,,
37,Hamilton Steelhawks,Hamilton Steelhawks,21,24,5,47,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Gooney,,,0,0,0,0,0,,
37,Toronto North Stars,Toronto North Stars,25,21,4,54,1,,,,MIN,4,2,,,,WKP,4,1,WPG,3,4,11,7,2,1,Symmetrik,,,,0,1,1,0,1,,
37,Winnipeg Aurora,Winnipeg Jets,32,17,1,65,1.1,,,,TEX,4,0,,,,SEA,4,3,TOR,4,3,12,6,3,0,Nereus,Ztevans,1,,2,0,2,1,0,,
37,Tampa Bay Barracuda,Seattle Riot,35,12,3,73,1,,,,CGY,4,3,,,,WPG,3,4,,,,7,7,1,1,Abdeezy,,,1,1,1,2,0,0,,
37,Manhattan Rage,Manhattan Rage,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,Nuck,,,0,0,0,0,0,,
37,Edmonton Blizzard,Edmonton Blizzard,16,27,7,39,0,,,,,,,,,,,,,,,,0,0,0,0,Karlssens,Ace,,,0,0,0,0,0,,
37,Los Angeles Panthers,Los Angeles Panthers,25,20,5,55,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
37,Minnesota Monarchs,Minnesota Chiefs,28,17,5,61,1,,,,TOR,2,4,,,,,,,,,,2,4,0,1,Baelor Swift,Andybj,,,0,0,0,0,0,,
37,New England Wolfpack,New England Wolfpack,24,24,2,50,0,,,,,,,,,,,,,,,,0,0,0,0,Eggy216,Toivo,,,0,0,0,0,0,,
37,Texas Renegades,Texas Renegades,27,19,4,58,1,,,,WPG,0,4,,,,,,,,,,0,4,0,1,Phobospwns,,,,0,0,0,0,0,,
37,Buffalo Stampede,Buffalo Stampede,25,23,2,52,1,,,,WKP,3,4,,,,,,,,,,3,4,0,1,WannabeFinn,,,,0,1,1,0,0,,
37,San Francisco Pride,Portland Admirals,16,30,4,36,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Galatix,,,0,0,0,0,0,,
36,Baltimore Platoon,West Kendall Platoon,27,22,1,55,0,,,,,,,,,,,,,,,,0,0,0,0,Bojo,enigmatic,,,0,0,0,0,0,,
36,Calgary Dragons,Calgary Dragons,31,15,4,66,1,,,,SEA,4,3,,,,TEX,0,4,,,,4,7,1,1,Steelhead77,Cookies,,1,1,0,1,0,0,,
36,Hamilton Steelhawks,Hamilton Steelhawks,18,26,6,42,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Gooney,,,0,0,0,0,0,,
36,Toronto North Stars,Toronto North Stars,26,18,6,58,1,,,,NEW,2,4,,,,,,,,,,2,4,0,1,Cynthia,Winter is Coming,,,0,0,0,0,0,,
36,Winnipeg Aurora,Winnipeg Jets,30,16,4,64,1,,,,TEX,2,4,,,,,,,,,,2,4,0,1,Nereus,Ztevans,,,0,0,0,0,0,,
36,Tampa Bay Barracuda,Seattle Riot,28,15,7,63,1,,,,CGY,3,4,,,,,,,,,,3,4,0,1,MPC,CkRoyal,,,0,1,1,0,0,,
36,Manhattan Rage,Manhattan Rage,24,24,2,50,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,Nuck,,,0,0,0,0,0,,
36,Edmonton Blizzard,Edmonton Blizzard,19,29,2,40,0,,,,,,,,,,,,,,,,0,0,0,0,Karlssens,Ace,,,0,0,0,0,0,,
36,Los Angeles Panthers,Los Angeles Panthers,24,22,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
36,Minnesota Monarchs,Minnesota Chiefs,26,17,7,59,1,,,,MIN,4,3,,,,NEW,2,4,,,,6,7,1,1,Baelor Swift,Andybj,,,1,0,1,0,0,,
36,New England Wolfpack,New England Wolfpack,26,17,7,59,1,,,,TOR,4,2,,,,MIN,4,2,TEX,2,4,10,8,2,1,Eggy216,Toivo,,,0,0,0,0,0,,
36,Texas Renegades,Texas Renegades,29,16,5,63,1.1,,,,WPG,4,2,,,,CGY,4,0,NEW,4,2,12,4,3,0,Allen,Durden,1,,0,0,0,0,0,,
36,Buffalo Stampede,Buffalo Stampede,28,19,3,59,1,,,,MIN,3,4,,,,,,,,,,3,4,0,1,ThatDamnwalrus,Tomen,,,0,1,1,0,0,,
36,San Francisco Pride,Portland Admirals,14,32,4,32,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Galatix,,,0,0,0,0,0,,
35,Baltimore Platoon,West Kendall Platoon,25,20,5,55,1,,,,TOR,1,4,,,,,,,,,,1,4,0,1,Bojo,enigmatic,,,0,0,0,0,0,,
35,Calgary Dragons,Calgary Dragons,36,12,2,74,1,,,,TEX,4,2,,,,POR,3,4,,,,7,6,1,1,Steelhead77,Cookies,,1,0,1,1,0,0,,
35,Hamilton Steelhawks,Hamilton Steelhawks,18,29,3,39,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Gooney,,,0,0,0,0,0,,
35,Toronto North Stars,Toronto North Stars,28,17,5,61,1.1,,,,WKP,4,1,,,,NEW,4,1,POR,4,3,12,5,3,0,Cynthia,Winter is Coming,1,,1,0,1,1,0,,
35,Winnipeg Aurora,Winnipeg Jets,28,21,1,57,0,,,,,,,,,,,,,,,,0,0,0,0,Nereus,Ztevans,,,0,0,0,0,0,,
35,Tampa Bay Barracuda,Seattle Riot,19,28,3,41,0,,,,,,,,,,,,,,,,0,0,0,0,MPC,CkRoyal,,,0,0,0,0,0,,
35,Manhattan Rage,Manhattan Rage,22,22,6,50,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,McZerhl,,,0,0,0,0,0,,
35,Edmonton Blizzard,Edmonton Blizzard,19,26,5,43,0,,,,,,,,,,,,,,,,0,0,0,0,Karlssens,Allegiant,,,0,0,0,0,0,,
35,Los Angeles Panthers,Los Angeles Panthers,28,18,4,60,1,,,,POR,1,4,,,,,,,,,,1,4,0,1,Wasty,vbottas17,,,0,0,0,0,0,,
35,Minnesota Monarchs,Minnesota Chiefs,21,26,3,45,0,,,,,,,,,,,,,,,,0,0,0,0,Baelor Swift,Andybj,,,0,0,0,0,0,,
35,New England Wolfpack,New England Wolfpack,30,16,4,64,1,,,,BUF,4,0,,,,TOR,1,4,,,,5,4,1,1,Eggy216,Toivo,,,0,0,0,0,0,,
35,Texas Renegades,Texas Renegades,26,19,5,57,1,,,,CGY,2,4,,,,,,,,,,2,4,0,1,Allen,Durden,,,0,0,0,0,0,,
35,Buffalo Stampede,Buffalo Stampede,21,20,9,51,1,,,,NEW,0,4,,,,,,,,,,0,4,0,1,ThatDamnwalrus,Tomen,,,0,0,0,0,0,,
35,San Francisco Pride,Portland Admirals,29,18,3,61,1,,,,LAP,4,1,,,,CGY,4,3,TOR,3,4,11,8,2,1,Wally,Tweedledunn,,,1,1,2,0,1,,
34,Baltimore Platoon,West Kendall Platoon,21,25,4,46,0,,,,,,,,,,,,,,,,0,0,0,0,Bojo,,,,0,0,0,0,0,,
34,Calgary Dragons,Calgary Dragons,26,19,5,57,0,,,,,,,,,,,,,,,,0,0,0,0,Steelhead77,Cookies,,,0,0,0,0,0,,
34,Hamilton Steelhawks,Hamilton Steelhawks,19,23,8,46,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,JR95,,,0,0,0,0,0,,
34,Toronto North Stars,Toronto North Stars,25,20,5,55,1,,,,NEW,3,4,,,,,,,,,,3,4,0,1,RaiN,Cynthia,,,0,1,1,0,0,,
34,Winnipeg Aurora,Winnipeg Jets,26,16,8,60,1,,,,POR,1,4,,,,,,,,,,1,4,0,1,Nereus,Ztevans,,,0,0,0,0,0,,
34,Tampa Bay Barracuda,Seattle Riot,21,18,11,53,0,,,,,,,,,,,,,,,,0,0,0,0,Abdeezy,,,,0,0,0,0,0,,
34,Manhattan Rage,Manhattan Rage,29,19,2,60,1.1,,,,MIN,4,0,,,,NEW,4,0,POR,4,2,12,2,3,0,Muerto,McZerhl,1,,0,0,0,0,0,,
34,Edmonton Blizzard,Edmonton Blizzard,21,23,6,48,0,,,,,,,,,,,,,,,,0,0,0,0,Allegiant,Karlssens,,,0,0,0,0,0,,
34,Los Angeles Panthers,Los Angeles Panthers,30,12,8,68,1,,,,TEX,3,4,,,,,,,,,,3,4,0,1,Wasty,vbottas17,,,0,1,1,0,0,,
34,Minnesota Monarchs,Minnesota Chiefs,25,19,6,56,1,,,,MAN,0,4,,,,,,,,,,0,4,0,1,Baelor Swift,Andybj,,,0,0,0,0,0,,
34,New England Wolfpack,New England Wolfpack,33,12,5,71,1,,,,TOR,4,3,,,,MAN,0,4,,,,4,7,1,1,Eggy216,Toivo,,1,1,0,1,0,0,,
34,Texas Renegades,Texas Renegades,27,18,5,59,1,,,,LAP,4,3,,,,POR,2,4,,,,6,7,1,1,Allen,Durden,,,1,0,1,0,0,,
34,Buffalo Stampede,Buffalo Stampede,17,28,5,39,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnwalrus,Tomen,,,0,0,0,0,0,,
34,San Francisco Pride,Portland Admirals,30,16,4,64,1,,,,WPG,4,1,,,,TEX,4,2,MAN,2,4,10,7,2,1,Wally,Tweedledunn,,,0,0,0,0,0,,
33,Baltimore Platoon,West Kendall Platoon,28,18,4,60,1,,,,TOR,0,4,,,,,,,,,,0,4,0,1,Bojo,,,,0,0,0,0,0,,
33,Calgary Dragons,Calgary Dragons,30,14,6,66,1,,,,SEA,4,0,,,,LAP,4,2,NEW,2,4,10,6,2,1,Steelhead77,Cookies,,,0,0,0,0,0,,
33,Hamilton Steelhawks,Hamilton Steelhawks,20,24,6,46,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,JR95,,,0,0,0,0,0,,
33,Toronto North Stars,Toronto North Stars,22,17,11,55,1,,,,WKP,4,0,,,,NEW,3,4,,,,7,4,1,1,RaiN,Cynthia,,,0,1,1,0,0,,
33,Winnipeg Aurora,Winnipeg Jets,27,20,3,57,0,,,,,,,,,,,,,,,,0,0,0,0,Atlas,Nereus,,,0,0,0,0,0,,
33,Tampa Bay Barracuda,Seattle Riot,28,18,4,60,1,,,,CGY,0,4,,,,,,,,,,0,4,0,1,Abdeezy,Tweedlebrumm,,,0,0,0,0,0,,
33,Manhattan Rage,Manhattan Rage,22,22,6,50,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,McZerhl,,,0,0,0,0,0,,
33,Edmonton Blizzard,Edmonton Blizzard,30,16,4,64,1,,,,LAP,2,4,,,,,,,,,,2,4,0,1,JayTee,Allegiant,,,0,0,0,0,0,,
33,Los Angeles Panthers,Los Angeles Panthers,29,16,5,63,1,,,,EDM,4,2,,,,CGY,2,4,,,,6,6,1,1,Wasty,vbottas17,,,0,0,0,0,0,,
33,Minnesota Monarchs,Minnesota Chiefs,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Baelor Swift,ArgarBarGar,,,0,0,0,0,0,,
33,New England Wolfpack,New England Wolfpack,32,15,3,67,1.1,,,,BUF,4,1,,,,TOR,4,3,CGY,4,2,12,6,3,0,Eggy216,Lil,1,1,1,0,1,0,0,,
33,Texas Renegades,Texas Renegades,18,26,6,42,0,,,,,,,,,,,,,,,,0,0,0,0,Allen,Durden,,,0,0,0,0,0,,
33,Buffalo Stampede,Buffalo Stampede,24,24,2,50,1,,,,WKP,1,4,,,,,,,,,,1,4,0,1,ThatDamnwalrus,Tomen,,,0,0,0,0,0,,
33,San Francisco Pride,Portland Admirals,20,24,6,46,0,,,,,,,,,,,,,,,,0,0,0,0,Wally,,,,0,0,0,0,0,,
32,Baltimore Platoon,West Kendall Platoon,26,19,5,57,1,,,,MAN,2,4,,,,,,,,,,2,4,0,1,Bojo,,,,0,0,0,0,0,,
32,Calgary Dragons,Calgary Dragons,27,18,5,59,1.1,,,,LAP,4,1,,,,EDM,4,2,MAN,4,1,12,4,3,0,Steelhead77,Cookies,1,,0,0,0,0,0,,
32,Hamilton Steelhawks,Hamilton Steelhawks,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
32,Toronto North Stars,Toronto North Stars,18,24,8,44,0,,,,,,,,,,,,,,,,0,0,0,0,RaiN,Cynthia,,,0,0,0,0,0,,
32,Winnipeg Aurora,Winnipeg Jets,22,21,7,51,0,,,,,,,,,,,,,,,,0,0,0,0,Atlas,Nereus,,,0,0,0,0,0,,
32,Tampa Bay Barracuda,Seattle Riot,30,15,5,65,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Abdeezy,,,,0,0,0,0,0,,
32,Manhattan Rage,Manhattan Rage,28,15,7,63,1,,,,WKP,4,2,,,,NEW,4,0,CGY,1,4,9,6,2,1,Muerto,McZerhl,,,0,0,0,0,0,,
32,Edmonton Blizzard,Edmonton Blizzard,30,19,1,61,1,,,,SEA,4,2,,,,CGY,2,4,,,,6,6,1,1,Jedi,JayTee,,,0,0,0,0,0,,
32,Los Angeles Panthers,Los Angeles Panthers,38,10,2,78,1,,,,CGY,1,4,,,,,,,,,,1,4,0,1,Wasty,vbottas17,,1,0,0,0,0,0,,
32,Minnesota Monarchs,Minnesota Chiefs,23,24,3,49,1,,,,NEW,3,4,,,,,,,,,,3,4,0,1,ArgarBarGar,Baelor Swift,,,0,1,1,0,0,,
32,New England Wolfpack,New England Wolfpack,30,16,4,64,1,,,,MIN,4,3,,,,MAN,0,4,,,,4,7,1,1,Eggy216,Lil,,,1,0,1,0,0,,
32,Texas Renegades,Texas Renegades,28,19,3,59,0,,,,,,,,,,,,,,,,0,0,0,0,Allen,Jesster,,,0,0,0,0,0,,
32,Buffalo Stampede,Buffalo Stampede,21,22,7,49,0,,,,,,,,,,,,,,,,0,0,0,0,Brandon,ThatDamnwalrus,,,0,0,0,0,0,,
32,San Francisco Pride,Portland Admirals,7,40,3,17,0,,,,,,,,,,,,,,,,0,0,0,0,Wally,MWHazard,,,0,0,0,0,0,,
31,Baltimore Platoon,West Kendall Platoon,28,19,3,59,1,,,,NEW,3,4,,,,,,,,,,3,4,0,1,Bojo,Jaymay,,,0,1,1,0,0,,
31,Calgary Dragons,Calgary Dragons,32,16,2,66,1,,,,SEA,2,4,,,,,,,,,,2,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
31,Hamilton Steelhawks,Hamilton Steelhawks,14,32,4,32,0,,,,,,,,,,,,,,,,0,0,0,0,Dangles13,ThatDamnMcJesus,,,0,0,0,0,0,,
31,Toronto North Stars,Toronto North Stars,32,16,2,66,1,,,,MIN,4,1,,,,NEW,3,4,,,,7,5,1,1,JNH,Count Chocula,,,0,1,1,0,0,,
31,Winnipeg Aurora,Winnipeg Jets,13,31,6,32,0,,,,,,,,,,,,,,,,0,0,0,0,Atlas,Nereus,,,0,0,0,0,0,,
31,Tampa Bay Barracuda,Seattle Riot,26,20,4,56,1,,,,CGY,4,2,,,,EDM,1,4,,,,5,6,1,1,Abdeezy,,,,0,0,0,0,0,,
31,Manhattan Rage,Manhattan Rage,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,McZerhl,,,0,0,0,0,0,,
31,Edmonton Blizzard,Edmonton Blizzard,28,16,6,62,1,,,,TEX,4,2,,,,SEA,4,1,NEW,1,4,9,7,2,1,Jedi,Lunaro,,,0,0,0,0,0,,
31,Los Angeles Panthers,Los Angeles Panthers,27,22,1,55,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
31,Minnesota Monarchs,Minnesota Chiefs,30,19,1,61,1,,,,TOR,1,4,,,,,,,,,,1,4,0,1,ArgarBarGar,Baelor Swift,,,0,0,0,0,0,,
31,New England Wolfpack,New England Wolfpack,32,13,5,69,1.1,,,,WKP,4,3,,,,TOR,4,3,EDM,4,2,12,8,3,0,Eggy216,Lil,1,1,2,0,2,0,0,,
31,Texas Renegades,Texas Renegades,30,15,5,65,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Allen,GroupMeIsKindOfOkay,,,0,0,0,0,0,,
31,Buffalo Stampede,Buffalo Stampede,17,28,5,39,0,,,,,,,,,,,,,,,,0,0,0,0,Brandon,ThatDamnwalrus,,,0,0,0,0,0,,
31,San Francisco Pride,Portland Admirals,21,27,2,44,0,,,,,,,,,,,,,,,,0,0,0,0,Cuffy,kwahlgren36,,,0,0,0,0,0,,
30,Baltimore Platoon,West Kendall Platoon,29,14,7,65,1,,,,MAN,4,3,,,,NEW,2,4,,,,6,7,1,1,Bojo,Ohtaay,,,1,0,1,0,0,,
30,Calgary Dragons,Calgary Dragons,35,13,2,72,1,,,,SEA,4,3,,,,EDM,4,1,,,,8,4,2,0,Steelhead77,Cookies,,1,1,0,1,0,0,,
30,Hamilton Steelhawks,Hamilton Steelhawks,9,33,8,26,0,,,,,,,,,,,,,,,,0,0,0,0,Dangles13,ThatDamnMcJesus,,,0,0,0,0,0,,
30,Toronto North Stars,Toronto North Stars,25,19,6,56,0,,,,,,,,,,,,,,,,0,0,0,0,JNH,Count Chocula,,,0,0,0,0,0,,
30,Winnipeg Aurora,Winnipeg Jets,20,19,11,51,0,,,,,,,,,,,,,,,,0,0,0,0,Leafs4Ever,,,,0,0,0,0,0,,
30,Tampa Bay Barracuda,Seattle Riot,26,18,6,58,1,,,,CGY,3,4,,,,,,,,,,3,4,0,1,Gifter Of Bikes,,,,0,1,1,0,0,,
30,Manhattan Rage,Manhattan Rage,30,16,4,64,1,,,,WKP,3,4,,,,,,,,,,3,4,0,1,Jorec,,,,0,1,1,0,0,,
30,Edmonton Blizzard,Edmonton Blizzard,34,14,2,70,1,,,,TEX,4,2,,,,CGY,4,1,NEW,0,4,8,7,2,1,Jedi,Lunaro,,,0,0,0,0,0,,
30,Los Angeles Panthers,Los Angeles Panthers,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
30,Minnesota Monarchs,Minnesota Chiefs,34,15,1,69,1,,,,MIN,0,4,,,,,,,,,,0,4,0,1,ArgarBarGar,,,,0,0,0,0,0,,
30,New England Wolfpack,New England Wolfpack,29,20,1,59,1.1,,,,MIN,4,0,,,,WKP,4,2,EDM,4,0,12,2,3,0,Eggy216,,1,,0,0,0,0,0,,
30,Texas Renegades,Texas Renegades,29,19,2,60,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Allen,Allen,,,0,0,0,0,0,,
30,Buffalo Stampede,Buffalo Stampede,14,34,2,30,0,,,,,,,,,,,,,,,,0,0,0,0,Brandon,ThatDamnwalrus,,,0,0,0,0,0,,
30,San Francisco Pride,Portland Admirals,14,34,2,30,0,,,,,,,,,,,,,,,,0,0,0,0,JumpierPegasus,Cuffy,,,0,0,0,0,0,,
29,Baltimore Platoon,West Kendall Platoon,25,17,8,58,1,,,,HAM,2,4,,,,,,,,,,2,4,0,1,Bojo,Ohtaay,,,0,0,0,0,0,,
29,Calgary Dragons,Calgary Dragons,29,15,6,64,1.1,,,,SEA,4,1,,,,EDM,4,3,HAM,4,3,12,7,3,0,Steelhead77,Cookies,1,,2,0,2,1,0,,
29,Hamilton Steelhawks,Hamilton Steelhawks,30,14,6,66,1,,,,WKP,4,2,,,,TOR,4,3,CGY,3,4,11,9,2,1,Dangles13,Bluesboy71,,,1,1,2,0,1,,
29,Toronto North Stars,Toronto North Stars,26,18,6,58,1,,,,MIN,4,0,,,,HAM,3,4,,,,7,4,1,1,JNH,Count Chocula,,,0,1,1,0,0,,
29,Winnipeg Aurora,Winnipeg Jets,27,20,3,57,0,,,,,,,,,,,,,,,,0,0,0,0,Leafs4Ever,,,,0,0,0,0,0,,
29,Tampa Bay Barracuda,Seattle Riot,27,16,7,61,1,,,,CGY,1,4,,,,,,,,,,1,4,0,1,Gifter Of Bikes,,,,0,0,0,0,0,,
29,Manhattan Rage,Manhattan Rage,17,25,8,42,0,,,,,,,,,,,,,,,,0,0,0,0,Jorec,,,,0,0,0,0,0,,
29,Edmonton Blizzard,Edmonton Blizzard,34,12,4,72,1,,,,TEX,4,2,,,,CGY,3,4,,,,7,6,1,1,Teztify,Jedi,,,0,1,1,0,0,,
29,Los Angeles Panthers,Los Angeles Panthers,16,31,3,35,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
29,Minnesota Monarchs,Minnesota Chiefs,37,13,0,74,1,,,,TOR,0,4,,,,,,,,,,0,4,0,1,ArgarBarGar,,,1,0,0,0,0,0,,
29,New England Wolfpack,New England Wolfpack,26,22,2,54,0,,,,,,,,,,,,,,,,0,0,0,0,Prettyburn,Storm,,,0,0,0,0,0,,
29,Texas Renegades,Texas Renegades,26,18,6,58,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Deener,Allen,,,0,0,0,0,0,,
29,Buffalo Stampede,Buffalo Stampede,12,34,4,28,0,,,,,,,,,,,,,,,,0,0,0,0,Brandon,,,,0,0,0,0,0,,
29,San Francisco Pride,Portland Admirals,18,25,7,43,0,,,,,,,,,,,,,,,,0,0,0,0,JumpierPegasus,,,,0,0,0,0,0,,
28,Baltimore Platoon,West Kendall Platoon,30,15,5,65,1,,,,NEW,4,3,,,,HAM,4,3,EDM,2,4,10,10,2,1,Bojo,Ohtaay,,,2,0,2,0,0,,
28,Calgary Dragons,Calgary Dragons,29,15,6,64,1,,,,EDM,1,4,,,,,,,,,,1,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
28,Hamilton Steelhawks,Hamilton Steelhawks,27,19,4,58,1,,,,TOR,4,1,,,,WKP,3,4,,,,7,5,1,1,Tanner,,,,0,1,1,0,0,,
28,Toronto North Stars,Toronto North Stars,30,18,2,62,1,,,,HAM,1,4,,,,,,,,,,1,4,0,1,JNH,Count Chocula,,,0,0,0,0,0,,
28,Winnipeg Aurora,Winnipeg Jets,27,15,8,62,1,,,,TEX,4,1,,,,EDM,2,4,,,,6,5,1,1,Leafs4Ever,,,,0,0,0,0,0,,
28,Tampa Bay Barracuda,Seattle Riot,28,17,5,61,0,,,,,,,,,,,,,,,,0,0,0,0,Gifter Of Bikes,,,,0,0,0,0,0,,
28,Manhattan Rage,Manhattan Rage,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Jorec,,,,0,0,0,0,0,,
28,Edmonton Blizzard,Edmonton Blizzard,29,15,6,64,1.1,,,,CGY,4,1,,,,WPG,4,2,WKP,4,2,12,5,3,0,Teztify,Jedi,1,,0,0,0,0,0,,
